DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
1	1	D04_OR_R1	D04	OR	R1	1	August 26, 2021	169031860	1	79.8	1.25	DylanRyan	D04.OR.R1	Omnigene	Room Temp
1	1	D06_NF_R1	D06	NF	R1	2	August 26, 2021	169031860	1	140.8	0.71	DylanRyan	D06.NF.R1	No Preservative	Frozen
1	1	D01_OF_R1	D01	OF	R1	3	August 26, 2021	169031860	1	93.8	1.07	DylanRyan	D01.OF.R1	Omnigene	Frozen
1	1	D10_NF_R1	D10	NF	R1	4	August 26, 2021	169031860	1	83.8	1.19	DylanRyan	D10.NF.R1	No Preservative	Frozen
1	1	D03_OH_R1	D03	OH	R1	5	August 26, 2021	169031860	1	38.8	2.58	DylanRyan	D03.OH.R1	Omnigene	Hot
1	1	D07_OH_R1	D07	OH	R1	6	August 26, 2021	169031860	1	132.8	0.75	DylanRyan	D07.OH.R1	Omnigene	Hot
1	1	D09_ZH_R1	D09	ZH	R1	7	August 26, 2021	169031860	1	3.76	26.6	DylanRyan	D09.ZH.R1	Zymo	Hot
1	1	D10_ZF_R1	D10	ZF	R1	8	August 26, 2021	169031860	1	2.92	34.25	DylanRyan	D10.ZF.R1	Zymo	Frozen
1	1	D01_ZH_R1	D01	ZH	R1	9	August 26, 2021	169031860	1	5	20	DylanRyan	D01.ZH.R1	Zymo	Hot
1	1	D05_OF_R1	D05	OF	R1	10	August 26, 2021	169031860	1	84.8	1.18	DylanRyan	D05.OF.R1	Omnigene	Frozen
1	1	D03_ZR_R1	D03	ZR	R1	11	August 26, 2021	169031860	1	3.3	30.3	DylanRyan	D03.ZR.R1	Zymo	Room Temp
1	1	D08_OR_R1	D08	OR	R1	12	August 26, 2021	169031860	1	104.8	0.95	DylanRyan	D08.OR.R1	Omnigene	Room Temp
1	1	D09_OF_R1	D09	OF	R1	13	August 26, 2021	169031860	1	62.2	1.61	DylanRyan	D09.OF.R1	Omnigene	Frozen
1	1	D02_NF_R1	D02	NF	R1	16	August 26, 2021	169031860	1	153.2	0.65	DylanRyan	D02.NF.R1	No Preservative	Frozen
1	1	D07_ZR_R1	D07	ZR	R1	17	August 26, 2021	169031860	1	6.76	14.79	DylanRyan	D07.ZR.R1	Zymo	Room Temp
1	1	D06_ZF_R1	D06	ZF	R1	18	August 26, 2021	169031860	1	8.5	11.76	DylanRyan	D06.ZF.R1	Zymo	Frozen
1	1	D02_ZF_R1	D02	ZF	R1	19	August 26, 2021	169031860	1	19	5.26	DylanRyan	D02.ZF.R1	Zymo	Frozen
1	1	D05_ZH_R1	D05	ZH	R1	20	August 26, 2021	169031860	1	10.1	9.9	DylanRyan	D05.ZH.R1	Zymo	Hot
1	2	D03_ZF_R1	D03	ZF	R1	2	August 27, 2021	169031860	CD2 kit1, else kit 2	9.16	10.92	DylanRyan	D03.ZF.R1	Zymo	Frozen
1	2	D01_OR_R1	D01	OR	R1	3	August 27, 2021	169031860	CD2 kit1, else kit 2	48.4	2.07	DylanRyan	D01.OR.R1	Omnigene	Room Temp
1	2	D07_ZF_R1	D07	ZF	R1	4	August 27, 2021	169031860	CD2 kit1, else kit 2	16.2	6.17	DylanRyan	D07.ZF.R1	Zymo	Frozen
1	2	D07_NF_R1	D07	NF	R1	5	August 27, 2021	169031860	CD2 kit1, else kit 2	61.4	1.63	DylanRyan	D07.NF.R1	No Preservative	Frozen
